"id.exposure"	"id.outcome"	"outcome"	"exposure"	"method"	"nsnp"	"b"	"se"	"pval"	"lo_ci"	"up_ci"	"or"	"or_lci95"	"or_uci95"
"finn-b-M13_RHEUMA"	"finn-b-HYPOTHY_REIMB"	"Hypothyroidism, drug reimbursement"	"Rheumatoid arthritis"	"MR Egger"	28	0.0491130744217338	0.13501626771404	0.718980965823258	-0.215518810297785	0.313744959141253	1.0503391105131	0.806123106699814	1.36854065824994
"finn-b-M13_RHEUMA"	"finn-b-HYPOTHY_REIMB"	"Hypothyroidism, drug reimbursement"	"Rheumatoid arthritis"	"Weighted median"	28	0.147200531476323	0.0341585092844544	1.63744614941081e-05	0.080249853278792	0.214151209673853	1.15858627275209	1.0835577643165	1.23880996068199
"finn-b-M13_RHEUMA"	"finn-b-HYPOTHY_REIMB"	"Hypothyroidism, drug reimbursement"	"Rheumatoid arthritis"	"Inverse variance weighted"	28	0.241257024204665	0.0818689944503871	0.00321011415921924	0.0807937950819062	0.401720253327424	1.27284814605114	1.08414731700725	1.49439322266477
"finn-b-M13_RHEUMA"	"finn-b-HYPOTHY_REIMB"	"Hypothyroidism, drug reimbursement"	"Rheumatoid arthritis"	"Simple mode"	28	0.035744228754117	0.060869043120408	0.561927138022592	-0.0835590957618827	0.155047553270117	1.03639073363908	0.919836726612861	1.16771348837979
"finn-b-M13_RHEUMA"	"finn-b-HYPOTHY_REIMB"	"Hypothyroidism, drug reimbursement"	"Rheumatoid arthritis"	"Weighted mode"	28	0.102244448954013	0.0425288716494568	0.0233426731616933	0.0188878605210772	0.185601037386948	1.107654203548	1.0190673645264	1.20394183676731
"ebi-a-GCST000679"	"ukb-a-77"	"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"MR Egger"	18	0.190854915123586	0.106096845293201	0.0909277996676256	-0.0170949016510882	0.398804731898261	1.21028384546053	0.983050387103096	1.49004263240183
"ebi-a-GCST000679"	"ukb-a-77"	"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"Weighted median"	18	-0.00469032826673256	0.0353524991309928	0.894451859367134	-0.0739812265634784	0.0646005700300133	0.99532065414581	0.928689128364033	1.06673285420535
"ebi-a-GCST000679"	"ukb-a-77"	"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"Inverse variance weighted"	18	0.185683533960745	0.0502490578160526	0.000219658436956937	0.0871953806412814	0.284171687280208	1.20404116194083	1.09110984063421	1.32866102536953
"ebi-a-GCST000679"	"ukb-a-77"	"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"Simple mode"	18	0.0320137502300002	0.0447378381179243	0.483960846512761	-0.0556724124811315	0.119699912941132	1.0325317027559	0.945848933450052	1.12715855512703
"ebi-a-GCST000679"	"ukb-a-77"	"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"Weighted mode"	18	-0.0108245919130671	0.025689083332283	0.678765050205679	-0.0611751952443417	0.0395260114182076	0.989233783163322	0.940658426456311	1.04031755866811
"ebi-a-GCST000679"	"ukb-a-190"	"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"MR Egger"	18	0.147957317796916	0.0974264385973753	0.148360342847568	-0.0429985018539393	0.338913137447772	1.15946340685422	0.957912825159281	1.40342143515038
"ebi-a-GCST000679"	"ukb-a-190"	"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"Weighted median"	18	-0.0180468844491437	0.0309429661738002	0.559738080366905	-0.0786950981497921	0.0426013292515046	0.982114985358781	0.924321708883831	1.04352179029856
"ebi-a-GCST000679"	"ukb-a-190"	"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"Inverse variance weighted"	18	0.157357928013454	0.0461551400524076	0.000651235600932385	0.0668938535107348	0.247822002516172	1.1704144630612	1.06918198223731	1.28123185584957
"ebi-a-GCST000679"	"ukb-a-190"	"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"Simple mode"	18	0.180937605101092	0.0458214181158675	0.00103612772242482	0.0911276255939914	0.270747584608192	1.19834040663198	1.09540879853625	1.3109441261434
"ebi-a-GCST000679"	"ukb-a-190"	"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"Weighted mode"	18	-0.0106629402042325	0.024570137728846	0.669760704500523	-0.0588204101527707	0.0374945297443058	0.989393707420473	0.942876084924996	1.03820631781227
