"exposure"	"outcome"	"id.exposure"	"id.outcome"	"samplesize"	"SNP"	"b"	"se"	"p"
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs10425559"	14.4023184537051	6.9283207276682	0.0376393824863645
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs10768122"	10.0807058938435	7.04971123225563	0.15273253786449
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs10983700"	-2.58636069770327	4.6955874382065	0.581766238011159
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs11073337"	21.1702929970103	6.38122775254318	0.000907978813822943
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs11571302"	15.8433475315381	3.18026644406347	6.30061587203245e-07
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs11675342"	-5.26791045749078	6.24268262473762	0.398751196864024
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs12325861"	9.04509320523139	6.57796237658926	0.169112831760273
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs13383352"	1.70648270421376	7.04923768200449	0.808717818243321
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs1534430"	11.2002502236099	7.34908388527028	0.127500336582055
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs16918198"	12.2378824660048	9.80105215204408	0.211800631660131
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs174584"	14.3976693988686	8.50623562772456	0.0905312957515539
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2111485"	9.60367257111508	6.91520421740309	0.164900747030762
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2412971"	17.0954302911935	7.39102322682567	0.0207226869914966
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2476601"	43.470628751353	2.44118862540588	6.21896273353657e-71
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2744944"	13.8234423352107	8.15279530251017	0.0899718249726701
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs28157"	41.0850994079874	8.33236914334934	8.19009100683323e-07
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2856822"	58.5468465052453	4.53064855805769	3.36485933044556e-38
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2858483"	10.1845494676707	5.86429498831472	0.0824392836712544
