"exposure"	"outcome"	"id.exposure"	"id.outcome"	"samplesize"	"SNP"	"b"	"se"	"p"
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs10036386"	10.1207534673477	1.1258205996172	2.47978270386832e-19
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs1032129"	10.0470653749053	1.14344999724555	1.54121323935777e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs10424978"	9.85195391033954	1.15813338002556	1.78872957288319e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs10956412"	9.97306145875753	1.15839671734213	7.34656624355944e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs11256448"	9.831030659645	1.15549856435973	1.76894668140755e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs11258303"	9.665821768306	1.1159041719492	4.64069555623185e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs113229608"	10.0072770295121	1.14289281234045	2.02132953134786e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs11571297"	9.55347529990761	1.19618730619991	1.3870583518639e-15
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs11675342"	10.2773598049801	1.12444263860148	6.24759140308555e-20
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs11783023"	10.0813530020085	1.13628795755943	7.17267496635799e-19
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs12325861"	9.94953069607274	1.16230466757692	1.12696882212216e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs12980063"	9.96171777767821	1.13783032074958	2.0408230245976e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs13090803"	9.81036436326221	1.15842950116471	2.48197539379909e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs13145888"	9.90080491507182	1.17004714592415	2.63088886917199e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs13212936"	9.89170752605027	1.15601320500904	1.16101288977394e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs13333582"	9.91853614600505	1.1571323017817	1.02010393451708e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs13399762"	10.0672857084402	1.15174311223466	2.31235166512447e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs1534430"	9.90976543073679	1.16029924920904	1.33413519889246e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs1549142"	9.91672475926275	1.15770450459369	1.07280160214835e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs1561924"	9.69576867078312	1.12979898551922	9.33569986950562e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs17020149"	10.2692716715457	1.16401103986878	1.12117661982601e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs1790604"	9.84823022973328	1.15602314215795	1.6085383615426e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2111485"	9.95221747779835	1.16266744986868	1.13049453079811e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2123340"	9.9483696457916	1.16100707294907	1.04621967781639e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2160316"	9.91170534351371	1.15607622158826	1.0032178620266e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs221786"	9.8859630125398	1.15697599063828	1.28918578053755e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs229540"	9.98649106996752	1.16993224681623	1.39000343404703e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2412973"	9.83024668399756	1.15711946975965	1.97173261756954e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2445610"	9.9301720595762	1.15856631575894	1.02513244365165e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs244672"	9.85997990718727	1.15602128236735	1.4731565101481e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs2745803"	9.92130482224811	1.15423004849909	8.28277203642962e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs28157"	9.58485479459311	1.08801666890679	1.25734200504281e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs3184504"	10.2103239669888	1.20901874955744	3.03699857746306e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs3775291"	10.1321667811532	1.15549490833813	1.80770656864491e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs3800373"	9.80058817794647	1.14576538539341	1.19155067777132e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs3850765"	9.8921103953855	1.14877698447094	7.24305099267527e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs4276275"	9.85081349149548	1.15592119006644	1.56759175407959e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs4409785"	9.90194701265772	1.16361122895044	1.74429793723456e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs4444866"	9.94407321102057	1.15246473060006	6.21470515725279e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs6833591"	9.8746990066951	1.15808886586016	1.50556247899256e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs683763"	10.1824564356192	1.13509506589175	2.9496811748645e-19
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs6992869"	9.93780190594007	1.15515127823557	7.76381999473156e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7006080"	9.92603331384652	1.15950133095855	1.1227640622267e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7090530"	9.6591664997879	1.13766000821066	2.05961406996359e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs71508903"	9.83546230497792	1.13757643981299	5.33458044576572e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs736374"	9.88112099389733	1.16055169832901	1.67804508719711e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7441808"	9.58321333703732	1.0865027945518	1.14216598083665e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7649344"	9.91007737212078	1.15659372055386	1.04995997985056e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7849424"	10.0863180539556	1.11985939816076	2.12211030103337e-19
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs7905731"	9.84369200135006	1.15555982409967	1.61565866178028e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs8008961"	9.81738147148099	1.15166531252871	1.53459206021663e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs8043085"	9.7200555666537	1.14130989045154	1.64335912286024e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs8054578"	9.90153377038027	1.15785420037316	1.21368590727139e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs853303"	10.0890196955181	1.15529055554615	2.4825722249337e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs911760"	9.85418127503165	1.15157009111164	1.15671693319603e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs926103"	9.90935141436189	1.1519627118158	7.82391868474868e-18
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs933243"	9.93229808827579	1.16689718376885	1.71377083615702e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"rs9511151"	9.95276182247412	1.1694595018377	1.73086926681144e-17
"Hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"ebi-a-GCST000679"	25708	"All"	9.91317764920148	1.14134048223618	3.76891476930074e-18
