"exposure"	"outcome"	"id.exposure"	"id.outcome"	"samplesize"	"SNP"	"b"	"se"	"p"
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs10425559"	3.31142911392873	1.14411929542701	0.00380000000000001
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs10768122"	1.80001944118861	0.808557148963734	0.0259999999999995
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs10983700"	0.914678496091489	0.556085040701604	0.1
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs11073337"	6.58213721184539	0.991025924639288	3.0999999999993e-11
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs11571302"	4.35321508738115	0.499491365017003	2.9000000000001e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs11675342"	-1.2112158192357	1.53475498018255	0.43
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs12325861"	3.28094344358271	0.995369549166817	0.000980000000000027
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs12582330"	0.654825293903585	0.993909882696687	0.509999999999996
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs13383352"	0.796630576336395	1.65369768578007	0.63
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs1534430"	1.92147633006725	1.16817466222114	0.1
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs16918198"	1.42068156080574	1.399380149684	0.310000000000001
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs174584"	4.15950360012275	1.31021047110707	0.00150000000000004
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs2079174"	2.92419517083849	0.744099024195848	8.49999999999998e-05
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs2111485"	2.20810867608645	0.99186820702314	0.0259999999999996
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"yIuBvR"	NA	"rs2412971"	4.74155108602568	1.13186443852799	2.80000000000021e-05
