"exposure"	"outcome"	"id.exposure"	"id.outcome"	"samplesize"	"SNP"	"b"	"se"	"p"
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs10425559"	0.380426007999354	0.0457393635849431	9.00229752806883e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs10768122"	0.384425981677885	0.0457380649577609	4.28057270174723e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs11073337"	0.372472404621795	0.0446856863394966	7.72463510254679e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs11571302"	0.363606796895149	0.0475628438863735	2.09326161267363e-14
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs12325861"	0.385785118686429	0.0457567041601374	3.42062097827324e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs13383352"	0.39202794655635	0.044482721534957	1.21798475054851e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs1534430"	0.383346358617112	0.0457246046723337	5.12418556158871e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs16918198"	0.382549642872391	0.0454718862423013	4.00055153893217e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs174584"	0.38118676236144	0.0455365419014397	5.71273689359321e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2111485"	0.384948919737054	0.0457355098067304	3.86742779534845e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2412971"	0.378482765278615	0.0454489489545623	8.24655581002463e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2744944"	0.381442680540762	0.045592763511782	5.94563331704208e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs2858483"	0.385118792095182	0.0460171927393545	5.80995428515015e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs3184504"	0.398104710160103	0.0479753058295548	1.05774309485714e-16
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs34801483"	0.380501737889533	0.0454422267337627	5.60231669572087e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs3732378"	0.386288245052741	0.044972667309945	8.74243793442885e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs4409785"	0.380984607109215	0.0456245047206941	6.80101704429614e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs4915076"	0.399929161032836	0.0447991332247751	4.37073473730036e-19
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs683763"	0.400598954086823	0.042081169783249	1.73725710174656e-21
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs7072793"	0.359096724257407	0.0385692171726739	1.27293245533985e-20
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs71508903"	0.378583312722886	0.0434138492333434	2.77379671902732e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs71571466"	0.382427921270479	0.0454840451584566	4.17212055768387e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs744253"	0.369684921260574	0.0425795546814591	3.88128999936709e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs7655751"	0.381643094726247	0.0461101952579433	1.26570238289203e-16
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs7751251"	0.384534498627675	0.0453000041457553	2.09106141505856e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs853303"	0.39137425311017	0.0448347309567189	2.56332703576978e-18
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs9356551"	0.384011957236635	0.0460336438582333	7.30538474854264e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs9366622"	0.380123596032042	0.045266168541567	4.56003432713792e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"rs9507287"	0.383181083539766	0.0459762155437287	7.79363898974408e-17
"Treatment/medication code: levothyroxine sodium"	"Rheumatoid arthritis"	"ukb-a-190"	"ebi-a-GCST000679"	25708	"All"	0.382634653858472	0.044330445775448	6.05954444962907e-18
