"exposure"	"outcome"	"id.exposure"	"id.outcome"	"samplesize"	"SNP"	"b"	"se"	"p"
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs10036386"	0.759948123128157	0.172252337642512	1.02500326954102e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs1032129"	0.759411331511647	0.172476413870765	1.06770784721533e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs10424978"	0.750733283115883	0.172839500467565	1.40212326470954e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs1088898"	0.754437019043774	0.172609186326812	1.23802696484924e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs10956412"	0.765019718080637	0.173045624001444	9.8284559844264e-06
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs11256448"	0.75010073506124	0.17304315885241	1.45918573849038e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs11258303"	0.747098815926212	0.172698653029349	1.51823698565061e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs11571297"	0.724171969583273	0.176332098828683	4.01067006904908e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs11675342"	0.759735370818329	0.172592671739044	1.07307906808425e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs11783023"	0.760578677018016	0.172710406127529	1.06380699215363e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs12089835"	0.754377349641508	0.17263258306667	1.24335683618063e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs12325861"	0.750099917341272	0.173286172478412	1.5000755825732e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs12582330"	0.760459840795367	0.173302586303102	1.14373224175167e-05
"Non-cancer illness code self-reported: hypothyroidism/myxoedema"	"Rheumatoid arthritis"	"ukb-a-77"	"dR0gZR"	NA	"rs12980063"	0.750254411488952	0.172585500737524	1.37920263298989e-05
